LCZ,SUHI,UMI,City,City_State,Region,Year,Season,Time,T_ref
1.0,0.2207497,2.7310157,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
2.0,1.1536138,2.3627102,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
3.0,1.5937432,3.744702,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
4.0,1.2416226,3.8839383,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
5.0,1.6119459,3.478304,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
6.0,1.6825832,1.2977413,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
8.0,1.9607122,3.9809437,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
9.0,1.4556779,0.94396544,New York,NY1,Northeast,2000,winter,Day,0.10993395000696182
1.0,3.8726573,-2.589276,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
2.0,2.1624863,-3.522016,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
3.0,1.0312332,0.182451,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
4.0,2.0294354,0.18207328,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
5.0,1.3490217,0.18208428,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
6.0,0.702716,0.1837357,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
8.0,1.2680707,0.18183136,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
9.0,0.3917786,0.18422014,New York,NY1,Northeast,2000,winter,Night,-5.035501480102539
1.0,-10.859957,2.997739,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
2.0,-1.8444906,2.2433288,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
3.0,5.0576406,2.9864144,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
4.0,-1.1293055,3.4560924,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
5.0,1.7849276,2.7007747,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
6.0,1.8503937,0.37689972,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
8.0,-6.0486445,3.5954466,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
9.0,1.0202234,0.1163937,New York,NY1,Northeast,2000,spring,Day,17.263954162597656
1.0,-3.2054124,-2.6767733,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
2.0,-0.08409817,-3.5952141,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
3.0,1.6811302,0.15366463,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
4.0,0.28214023,0.11038085,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
5.0,0.79691386,0.14463921,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
6.0,1.0379155,0.17231248,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
8.0,-0.97308654,0.13392639,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
9.0,0.7501099,0.18069406,New York,NY1,Northeast,2000,spring,Night,5.396178245544434
1.0,-15.082923,2.5442793,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
2.0,-1.2130392,1.8120403,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
3.0,8.895405,2.9396393,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
4.0,0.028848218,3.3600256,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
5.0,4.4272013,2.6942668,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
6.0,4.2001686,0.54125386,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
8.0,-4.4109626,3.3661041,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
9.0,2.9183912,0.3018834,New York,NY1,Northeast,2000,summer,Day,25.348814010620117
1.0,-9.949466,-2.5831358,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
2.0,-1.9477732,-3.515393,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
3.0,3.4099686,0.18689795,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
4.0,-0.90608275,0.18675108,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
5.0,1.2072337,0.18743095,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
6.0,1.5785956,0.18601584,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
8.0,-4.616515,0.18668365,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
9.0,1.2424015,0.18581562,New York,NY1,Northeast,2000,summer,Night,16.047407150268555
1.0,-9.319477,2.2428281,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
2.0,-1.1574812,1.9131434,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
3.0,4.6428804,3.3870783,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
4.0,-0.44028187,3.4616501,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
5.0,2.0414,3.089653,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
6.0,1.7335696,1.0677245,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
8.0,-2.536913,3.5702581,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
9.0,1.1180116,0.76868045,New York,NY1,Northeast,2000,fall,Day,15.025483131408691
1.0,-4.6873612,-2.5890846,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
2.0,-1.091486,-3.5215638,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
3.0,1.173817,0.18205494,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
4.0,-0.46877202,0.18106891,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
5.0,0.48211876,0.1817749,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
6.0,1.0833596,0.18354978,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
8.0,-2.864386,0.1821785,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
9.0,0.93704814,0.18396398,New York,NY1,Northeast,2000,fall,Night,7.545602321624756
